net,length_um
lsu.current_load_addr\[1\],43.7µm
lsu.current_store_addr\[14\],43.66µm
lsu.store_counter\[14\],43.54µm
lsu.load_fifo.data_in\[20\],43.34µm
lsu.current_load_addr\[20\],43.28µm
net295,43.14µm
_1578_,42.88µm
net68,42.5µm
net27,42.4µm
net60,42.3µm
_1482_,42.28µm
_1923_,42.06µm
lsu.load_fifo.data_in\[11\],41.98µm
lsu.store_counter\[16\],41.94µm
_1512_,41.8µm
_1492_,41.72µm
net47,41.66µm
lsu.store_fifo.w_ptr\[2\],41.32µm
net416,41.285µm
_1583_,40.92µm
net311,40.92µm
_1568_,40.65µm
lsu.current_load_addr\[9\],40.46µm
_1239_,40.22µm
lsu.current_load_addr\[15\],40.12µm
lsu.current_load_addr\[13\],40.11µm
acc.byte1\[4\],40µm
_1778_,39.99µm
lsu.current_load_addr\[11\],39.66µm
lsu.load_fifo.data_in\[9\],39.46µm
lsu.store_fifo.w_ptr\[3\],39.17µm
clknet_leaf_74_clk,39.06µm
clknet_leaf_52_clk,39.02µm
acc.byte2\[2\],38.86µm
_1508_,38.84µm
lsu.load_counter\[0\],38.84µm
lsu.load_fifo.data_in\[15\],38.7µm
lsu.store_counter\[13\],38.7µm
lsu.store_fifo.r_en,38.58µm
_1228_,38.54µm
clknet_leaf_58_clk,38.48µm
net5,38.1µm
_1498_,37.9µm
lsu.load_fifo.data_in\[27\],37.78µm
lsu.current_store_addr\[8\],37.64µm
_1825_,37.6µm
_1818_,37.48µm
_1574_,37.37µm
_1532_,37.32µm
lsu.load_counter\[13\],37.32µm
net95,36.78µm
net418,36.5µm
lsu.current_load_addr\[14\],36.46µm
lsu.load_fifo.data_in\[4\],36.38µm
_1440_,36.26µm
_1616_,36.26µm
lsu.load_counter\[7\],36.26µm
_1852_,36.08µm
_1570_,36.01µm
lsu.store_counter\[5\],35.92µm
_1909_,35.86µm
acc.byte2\[0\],35.44µm
_1185_,35.42µm
net11,35.345µm
_1270_,35.2µm
lsu.load_fifo.data_in\[24\],35.14µm
_1831_,34.84µm
lsu.load_counter\[8\],34.77µm
net6,34.7µm
_2020_,34.62µm
net3,34.46µm
_1563_,34.36µm
lsu.load_counter\[4\],34.26µm
_1853_,34.2µm
acc.byte2\[1\],34.16µm
lsu.load_fifo.data_in\[10\],33.94µm
_1445_,33.9µm
lsu.current_store_addr\[12\],33.76µm
_1176_,33.74µm
lsu.current_store_addr\[13\],33.72µm
_1733_,33.65µm
_1663_,33.64µm
_1355_,33.52µm
lsu.load_counter\[16\],33.52µm
_1429_,33.4µm
net20,33.28µm
_1855_,33.22µm
lsu.store_counter\[10\],33.18µm
net18,33.14µm
lsu.load_counter\[18\],32.8µm
net7,32.5µm
_1486_,32.36µm
lsu.current_store_addr\[21\],32.32µm
_1674_,32.25µm
_1669_,31.92µm
lsu.store_counter\[8\],31.875µm
_1835_,31.76µm
_1998_,31.66µm
lsu.store_counter\[21\],31.4µm
lsu.load_fifo.data_in\[13\],31.24µm
net29,31.24µm
lsu.load_counter\[10\],31.22µm
lsu.load_counter\[17\],31.2µm
lsu.load_fifo.data_in\[14\],31.1µm
_1114_,31.08µm
_1456_,30.96µm
_1467_,30.8µm
net103,30.8µm
store_addr[9],30.75µm
lsu.current_load_addr\[12\],30.7µm
arst_i,30.67µm
_1926_,30.64µm
_1577_,30.6µm
_1408_,30.43µm
lsu.current_store_addr\[10\],30.38µm
_1236_,30.36µm
lsu.load_fifo.data_in\[6\],30.2µm
_1317_,30.16µm
_1222_,30.06µm
lsu.current_load_addr\[3\],30.04µm
lsu.load_fifo.data_in\[3\],29.98µm
lsu.store_fifo.queue\[0\]\[3\],29.86µm
lsu.load_counter\[6\],29.8µm
lsu.store_counter\[3\],29.62µm
lsu.store_counter\[6\],29.58µm
_1670_,29.54µm
lsu.store_counter\[15\],29.52µm
_1528_,29.5µm
lsu.load_fifo.queue\[7\]\[21\],29.36µm
_1651_,29.3µm
_2024_,29.26µm
lsu.store_counter\[2\],29.22µm
lsu.store_counter\[7\],29.21µm
_1572_,29.09µm
store_base_addr[9],29.05µm
lsu.load_fifo.data_in\[12\],28.92µm
lsu.storer_state\[2\],28.88µm
lsu.load_counter\[15\],28.83µm
net22,28.76µm
_1190_,28.7µm
acc.byte0\[4\],28.59µm
_1353_,28.51µm
store_base_addr[6],28.51µm
_1416_,28.38µm
net84,28.36µm
net139,28.28µm
_1645_,28.2µm
_1462_,28.16µm
_1526_,28.14µm
_2016_,28.12µm
_1513_,27.98µm
lsu.store_counter\[11\],27.905µm
_1536_,27.76µm
_1857_,27.66µm
_1668_,27.61µm
lsu.store_fifo.queue\[6\]\[3\],27.53µm
lsu.load_counter\[1\],27.52µm
net30,27.3µm
count[21],27.23µm
_1558_,27.205µm
lsu.load_counter\[19\],27.1µm
_1997_,27µm
net93,26.98µm
lsu.store_counter\[22\],26.96µm
_1130_,26.92µm
_1365_,26.785µm
_1847_,26.74µm
lsu.current_load_addr\[18\],26.66µm
_1667_,26.545µm
net15,26.52µm
lsu.load_fifo.queue\[12\]\[29\],26.48µm
lsu.load_fifo.r_en,26.48µm
_1404_,26.18µm
lsu.store_counter\[20\],26.16µm
_1344_,26.14µm
_1673_,26.14µm
net417,26.055µm
_1253_,26.04µm
_1569_,25.94µm
count[5],25.92µm
_1931_,25.85µm
count[8],25.84µm
_1339_,25.82µm
_1186_,25.8µm
_1373_,25.68µm
lsu.load_fifo.data_in\[5\],25.62µm
_2041_,25.58µm
_1731_,25.48µm
lsu.load_fifo.queue\[6\]\[9\],25.47µm
_1929_,25.45µm
lsu.current_load_addr\[4\],25.41µm
_2015_,25.24µm
lsu.storer_state\[1\],25µm
_1413_,24.98µm
_1328_,24.96µm
lsu.load_fifo.queue\[12\]\[22\],24.91µm
_1470_,24.8µm
lsu.load_fifo.queue\[10\]\[4\],24.71µm
_1155_,24.56µm
_1318_,24.54µm
store_base_addr[19],24.53µm
lsu.load_fifo.data_in\[2\],24.46µm
_1215_,24.38µm
_2011_,24.38µm
lsu.load_fifo.queue\[0\]\[15\],24.38µm
net19,24.38µm
lsu.load_fifo.queue\[14\]\[2\],24.325µm
lsu.load_fifo.queue\[11\]\[4\],24.3µm
lsu.load_fifo.queue\[4\]\[1\],24.26µm
lsu.load_fifo.queue\[4\]\[31\],24.22µm
_1313_,24.18µm
lsu.load_fifo.queue\[7\]\[1\],24.18µm
store_base_addr[16],24.13µm
_1231_,24.12µm
net146,24.12µm
_1382_,24.08µm
lsu.store_fifo.queue\[1\]\[8\],24.08µm
lsu.load_fifo.queue\[3\]\[4\],24.06µm
_1488_,24µm
load_data[7],24µm
_2039_,23.985µm
_1729_,23.91µm
lsu.load_fifo.queue\[3\]\[29\],23.9µm
lsu.storer_state\[0\],23.9µm
_1245_,23.86µm
_1858_,23.8µm
_1832_,23.78µm
lsu.load_fifo.queue\[3\]\[28\],23.72µm
_0626_,23.695µm
net140,23.66µm
net150,23.64µm
_1761_,23.58µm
lsu.load_fifo.queue\[8\]\[30\],23.52µm
_1297_,23.48µm
lsu.load_fifo.queue\[7\]\[16\],23.46µm
_1846_,23.44µm
_1107_,23.42µm
_1258_,23.36µm
_1354_,23.34µm
lsu.load_fifo.queue\[10\]\[7\],23.305µm
lsu.load_fifo.queue\[6\]\[13\],23.23µm
_1557_,23.205µm
lsu.load_fifo.queue\[6\]\[16\],23.165µm
lsu.store_fifo.w_en,23.16µm
_0702_,23.105µm
lsu.store_fifo.queue\[0\]\[4\],23.08µm
lsu.load_fifo.queue\[14\]\[29\],23.06µm
lsu.load_fifo.queue\[14\]\[31\],23.045µm
lsu.load_fifo.queue\[1\]\[9\],23.04µm
lsu.load_fifo.queue\[1\]\[16\],23.02µm
_1216_,23µm
_1391_,23µm
lsu.load_fifo.queue\[10\]\[18\],22.965µm
_1956_,22.94µm
count[1],22.92µm
lsu.load_counter\[12\],22.92µm
_1880_,22.9µm
_1549_,22.88µm
lsu.load_fifo.queue\[1\]\[3\],22.88µm
net92,22.82µm
_1357_,22.72µm
_1143_,22.66µm
lsu.current_store_addr\[16\],22.63µm
lsu.load_fifo.queue\[6\]\[3\],22.605µm
lsu.load_fifo.queue\[12\]\[21\],22.6µm
_1435_,22.565µm
lsu.load_fifo.queue\[4\]\[26\],22.54µm
_1466_,22.52µm
_1420_,22.41µm
lsu.load_counter\[21\],22.38µm
_1348_,22.36µm
_1281_,22.32µm
lsu.acc_state\[1\],22.32µm
lsu.load_fifo.queue\[1\]\[19\],22.32µm
lsu.load_fifo.queue\[14\]\[9\],22.245µm
_1402_,22.24µm
_1377_,22.23µm
lsu.load_fifo.queue\[5\]\[31\],22.22µm
lsu.load_fifo.queue\[10\]\[15\],22.185µm
lsu.current_load_addr\[21\],22.18µm
lsu.store_fifo.queue\[12\]\[0\],22.16µm
_1996_,22.14µm
count[7],22.14µm
lsu.load_fifo.queue\[1\]\[29\],22.14µm
lsu.load_fifo.queue\[6\]\[1\],22.065µm
lsu.load_fifo.queue\[4\]\[12\],22.06µm
store_base_addr[4],22.05µm
_1380_,22.02µm
lsu.load_fifo.queue\[6\]\[10\],21.965µm
net28,21.94µm
lsu.current_store_addr\[5\],21.9µm
lsu.store_fifo.queue\[9\]\[5\],21.9µm
_1198_,21.88µm
_1268_,21.88µm
_1279_,21.86µm
store_addr[20],21.85µm
_1271_,21.845µm
acc.byte1\[1\],21.84µm
lsu.load_fifo.queue\[5\]\[25\],21.8µm
net159,21.8µm
lsu.load_counter\[5\],21.74µm
_1631_,21.72µm
lsu.load_counter\[22\],21.64µm
net39,21.62µm
net460,21.54µm
_1479_,21.52µm
_1335_,21.46µm
net100,21.46µm
_1255_,21.44µm
lsu.load_fifo.queue\[1\]\[4\],21.44µm
lsu.load_fifo.queue\[6\]\[29\],21.435µm
net143,21.42µm
