Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_96_489,VGND,li1,233.2200,272.0000,0.000608
FILLER_96_477,VGND,li1,227.7000,272.0000,0.000567
FILLER_96_475,VGND,li1,224.2500,272.0000,0.000542
FILLER_96_468,VGND,li1,221.2600,272.0000,0.000520
FILLER_96_444,VGND,li1,211.1400,272.0000,0.000444
FILLER_96_385,VGND,li1,185.3800,272.0000,0.000207
FILLER_96_341,VGND,li1,163.0700,272.0000,0.000143
FILLER_96_333,VGND,li1,160.5400,272.0000,0.000141
FILLER_96_321,VGND,li1,155.9400,272.0000,0.000137
FILLER_96_309,VGND,li1,150.4200,272.0000,0.000133
FILLER_96_307,VGND,li1,146.9700,272.0000,0.000129
FILLER_96_301,VGND,li1,145.3600,272.0000,0.000129
FILLER_96_289,VGND,li1,141.2200,272.0000,0.000126
FILLER_96_277,VGND,li1,135.7000,272.0000,0.000120
FILLER_96_265,VGND,li1,130.1800,272.0000,0.000117
FILLER_96_253,VGND,li1,124.6600,272.0000,0.000113
FILLER_96_251,VGND,li1,121.2100,272.0000,0.000109
